     464   a_wgt =    0.001  b_wgt =    0.020
    1         3    4    1    2   -0.39684060E+01
    2         4    5    1    2   -0.79699123E+00
    3         5    6    1    2   -0.25845698E+00
    4         6    7    1    2   -0.11315361E+00
    5         7    8    1    2   -0.59091058E-01
    6         8    9    1    2   -0.29770540E-01
    7         9   10    1    2   -0.19872395E-01
    8        10   11    1    2   -0.10773724E-01
    9        11   12    1    2   -0.71417368E-02
   10        12   13    1    2   -0.44456953E-02
   11        13   14    1    2   -0.24677222E-02
   12        14   15    1    2   -0.21441656E-02
   13        15   16    1    2   -0.26470984E-02
   14        16   17    1    2   -0.43985257E-02
   15        17   18    1    2    0.10334135E-02
   16        18   19    1    2   -0.69939718E-03
   17        19   20    1    2    0.44970636E-03
   18        20   21    1    2    0.11034030E-02
   19        21   22    1    2    0.16673689E-03
   20        22   23    1    2   -0.74550387E-03
   21        23   24    1    2   -0.78318245E-03
   22        24   25    1    2   -0.12178448E-02
   23        25   26    1    2   -0.10702314E-02
   24        26   27    1    2   -0.52595683E-02
   25        27   28    1    2   -0.66979439E-02
   26        28   29    1    2   -0.83913133E-02
   27        29   30    1    2   -0.76190047E-02
   28        30   31    1    2   -0.50502368E-02
   29        31   32    1    2   -0.12495304E-02
   30         4    5    2    3   -0.50202231E+01
   31         5    6    2    3   -0.11719807E+01
   32         6    7    2    3   -0.45442107E+00
   33         7    8    2    3   -0.20352170E+00
   34         8    9    2    3   -0.10986798E+00
   35         9   10    2    3   -0.65275490E-01
   36        10   11    2    3   -0.34357354E-01
   37        11   12    2    3   -0.20098720E-01
   38        12   13    2    3   -0.11923298E-01
   39        13   14    2    3   -0.11488179E-01
   40        14   15    2    3   -0.89998860E-02
   41        15   16    2    3   -0.83990078E-02
   42        16   17    2    3   -0.17488230E-01
   43        17   18    2    3    0.14784383E-02
   44        18   19    2    3    0.95869368E-03
   45        19   20    2    3    0.20253584E-02
   46        20   21    2    3   -0.18722209E-03
   47        21   22    2    3    0.21531058E-02
   48        22   23    2    3   -0.34555994E-03
   49        23   24    2    3   -0.35037238E-02
   50        24   25    2    3   -0.52346503E-02
   51        25   26    2    3   -0.12029545E-01
   52        26   27    2    3   -0.13465992E-01
   53        27   28    2    3   -0.21261133E-01
   54        28   29    2    3   -0.23914434E-01
   55        29   30    2    3   -0.22444993E-01
   56        30   31    2    3   -0.13921482E-01
   57        31   32    2    3   -0.36610444E-02
   58        32    1    2    3   -0.15389761E+02
   59         5    6    3    4   -0.53620377E+01
   60         6    7    3    4   -0.12513230E+01
   61         7    8    3    4   -0.48572829E+00
   62         8    9    3    4   -0.24718331E+00
   63         9   10    3    4   -0.13389671E+00
   64        10   11    3    4   -0.70546530E-01
   65        11   12    3    4   -0.38425703E-01
   66        12   13    3    4   -0.24688017E-01
   67        13   14    3    4   -0.17167265E-01
   68        14   15    3    4   -0.16355583E-01
   69        15   16    3    4   -0.13744190E-01
   70        16   17    3    4   -0.27259393E-01
   71        17   18    3    4    0.15601921E-02
   72        18   19    3    4    0.40821650E-03
   73        19   20    3    4    0.15800537E-02
   74        20   21    3    4   -0.13969571E-03
   75        21   22    3    4   -0.66374592E-03
   76        22   23    3    4   -0.77986310E-03
   77        23   24    3    4   -0.58721951E-02
   78        24   25    3    4   -0.11139669E-01
   79        25   26    3    4   -0.16381714E-01
   80        26   27    3    4   -0.24573725E-01
   81        27   28    3    4   -0.28707612E-01
   82        28   29    3    4   -0.33543486E-01
   83        29   30    3    4   -0.29062808E-01
   84        30   31    3    4   -0.18928740E-01
   85        31   32    3    4   -0.62188208E-02
   86        32    1    3    4   -0.52811022E+01
   87         6    7    4    5   -0.52534709E+01
   88         7    8    4    5   -0.12796773E+01
   89         8    9    4    5   -0.51175660E+00
   90         9   10    4    5   -0.25855806E+00
   91        10   11    4    5   -0.13063848E+00
   92        11   12    4    5   -0.68113483E-01
   93        12   13    4    5   -0.41464340E-01
   94        13   14    4    5   -0.31422082E-01
   95        14   15    4    5   -0.22934809E-01
   96        15   16    4    5   -0.17385889E-01
