label,x,y,z,buried
1,0,0,0,0
2,0.32,0,0,0
3,0.65,0,0,0
4,0.97,0,0,0
5,1.3,0,0,0
6,1.62,0,0,0
7,1.94,0,0,0
8,2.27,0,0,0
9,2.59,0,0,0
10,2.92,0,0,0
11,3.24,0,0,0
12,3.56,0,0,0
13,3.89,0,0,0
14,4.21,0,0,0
15,4.54,0,0,0
16,4.86,0,0,0
17,5.18,0,0,0
18,5.51,0,0,0
19,5.83,0,0,0
20,6.16,0,0,0
21,6.48,0,0,0
22,6.8,0,0,0
23,7.13,0,0,0
24,7.45,0,0,0
25,7.78,0,0,0
26,8.1,0,0,0
27,8.42,0,0,0
28,8.75,0,0,0
29,9.07,0,0,0
30,9.4,0,0,0
31,9.72,0,0,0
32,10.04,0,0,0
33,10.37,0,0,0
34,10.69,0,0,0
35,11.02,0,0,0
36,11.34,0,0,0
37,11.66,0,0,0
38,11.99,0,0,0
39,12.31,0,0,0
40,12.64,0,0,0
41,12.96,0,0,0
42,13.28,0,0,0
43,13.61,0,0,0
44,13.93,0,0,0
45,14.26,0,0,0
46,14.58,0,0,0
47,14.9,0,0,0
48,15.23,0,0,0
49,15.55,0,0,0
50,15.88,0,0,0
51,16.2,0,0,0
52,16.52,0,0,0
53,16.85,0,0,0
54,17.17,0,0,0
55,17.5,0,0,0
56,17.82,0,0,0
57,18.14,0,0,0
58,18.47,0,0,0
59,18.79,0,0,0
60,19.12,0,0,0
61,19.44,0,0,0
62,19.76,0,0,0
63,20.09,0,0,0
64,20.41,0,0,0
65,20.74,0,0,0
66,21.06,0,0,0
67,21.38,0,0,0
68,21.71,0,0,0
69,22.03,0,0,0
70,22.36,0,0,0
71,22.68,0,0,0
72,23,0,0,0
73,23.33,0,0,0
74,23.65,0,0,0
75,23.98,0,0,0
76,24.3,0,0,0
77,24.62,0,0,0
78,24.95,0,0,0
79,25.27,0,0,0
80,25.6,0,0,0
81,25.92,0,0,0
82,26.24,0,0,0
83,26.57,0,0,0
84,26.89,0,0,0
85,27.22,0,0,0
86,27.54,0,0,0
87,27.86,0,0,0
88,28.19,0,0,0
89,28.51,0,0,0
90,28.84,0,0,0
91,29.16,0,0,0
92,29.48,0,0,0
93,29.81,0,0,0
94,30.13,0,0,0
95,30.46,0,0,0
96,30.78,0,0,0
